annee;pays;espérance_vie;mortalité_infantile;mortalité_maternelle;densité_médecins;densité_infirmiers;insuffissance_pondérale_T;insuffissance_pondérale_F;insuffissance_pondérale_M;nombre_lits_hospitaliers;taux_chômage_jeunes;scolarisation_primaire;scolarisation_secondaire;scolarisation_superieur;pop_15_24_pct;population_total;obésité_T;obésité_M;obésité_F;activité_phisique_T;activité_phisique_M;activité_phisique_F;surpoids_T;surpoids_M;surpoids_F;pop_young_ratio;population_total_growth_pct;pop_15_24_pct_growth_pct;espérance_vie_growth_pct;taux_chômage_jeunes_growth_pct;scolarisation_primaire_growth_pct;scolarisation_secondaire_growth_pct;scolarisation_superieur_growth_pct;espérance_vie_per_100k;mortalité_infantile_per_100k;mortalité_maternelle_per_100k;densité_médecins_per_100k;densité_infirmiers_per_100k;insuffissance_pondérale_T_per_100k;insuffissance_pondérale_F_per_100k;insuffissance_pondérale_M_per_100k;nombre_lits_hospitaliers_per_100k;taux_chômage_jeunes_per_100k;scolarisation_primaire_per_100k;scolarisation_secondaire_per_100k;scolarisation_superieur_per_100k;pop_15_24_pct_per_100k;obésité_T_per_100k;obésité_M_per_100k;obésité_F_per_100k;activité_phisique_T_per_100k;activité_phisique_M_per_100k;activité_phisique_F_per_100k;surpoids_T_per_100k;surpoids_M_per_100k;surpoids_F_per_100k;dev_index_pca;population_total_ma3;pop_15_24_pct_ma3;espérance_vie_ma3;taux_chômage_jeunes_ma3;scolarisation_primaire_ma3;scolarisation_secondaire_ma3;scolarisation_superieur_ma3
2000;BENIN;56.594;136.1;529.0;0.0474444444444444;0.5994750000000001;2.5;2.3;2.6;0.3789090934090909;0.0278446656607446;80.111213684082;20.8747406005859;3.62698006629944;0.1578554624602906;7221619.0;4.49528;2.28373;6.46617;77.41628347826088;73.91518695652175;80.94200913043478;21.0;14.5;26.4;0.001578554624602906;3.1244707487757095;0.0;0.45796648679352625;0.0;3.797841113736866;3.86197839832354;13.079513050635061;0.7836746856902863;1.8846189476348723;7.3252272101311355;0.0006569779497429095;0.00830111641170768;0.034618276040317274;0.03184881395709189;0.036003007081929966;0.005246871835928909;0.0003855737288376;1.1093248436961574;0.2890590129524404;0.050223918851152904;0.0021858735895689124;0.062247537567406974;0.0316235182166215;0.08953906319344734;1.0720073085863555;1.0235265382530117;1.120829126134109;0.2907935187386651;0.20078600103384017;0.3655689949857504;0.6979576455313742;7004642.0;0.1578554624602906;56.361333333333334;0.0278446656607446;78.04410807291663;26.756075948079417;3.1160133679707833
2001;BENIN;56.654;132.8;532.0;0.0453333333333333;0.5994750000000001;2.4;2.2;2.6;0.4031272747272727;0.0278446656607446;87.4075012207031;22.6525707244873;4.36625003814697;0.1578554624602906;7445596.0;4.83479;2.47623;6.94462;80.04335;78.60719;81.4644;21.5;14.8;27.1;0.001578554624602906;3.1014790450728524;0.0;0.10601830582748217;0.0;9.107698162449452;8.516657322445976;20.382520949496087;0.7609061786323084;1.783604697327118;7.1451633959188765;0.0006088610412562447;0.008051403809715167;0.03223381983121297;0.0295476681786119;0.03491997148381406;0.0054143049760861685;0.00037397497340366844;1.1739490192686133;0.3042412014362222;0.05864204877819009;0.002120118556799088;0.0649348957423959;0.03325764653360188;0.0932715124484326;1.075042884411134;1.055754166624136;1.0941286634407776;0.28876130265461625;0.19877522229248;0.36397354892744654;0.6407233373917632;7223344.333333333;0.1578554624602906;56.528;0.0278446656607446;81.56625111897783;21.20861689249673;3.733563343683876
2002;BENIN;56.851;129.6;534.0;0.0432222222222222;0.5994750000000001;2.3;2.2;2.5;0.4273454560454545;0.0278446656607446;92.6105804443359;24.5954608917236;5.1319899559021;0.1578554624602906;7675426.0;5.18157;2.68003;7.42808;79.79504;78.16523;81.41029;22.0;15.2;27.7;0.001578554624602906;3.0867911715865226;0.0;0.3477247855402821;0.0;5.952668994043275;8.57690807311351;17.53770194251423;0.7406885298614044;1.688505628221808;6.957268560728746;0.0005631247336919436;0.00781031567498664;0.02996576346381295;0.028662904182777612;0.03257148202588365;0.0055677099361710275;0.0003627768108342729;1.2065855425397352;0.32044424494123974;0.06686260744227225;0.0020566345432851624;0.06750856564834316;0.03491701958953158;0.0967774296827303;1.0396170844458665;1.0183829535976243;1.06066151898279;0.2866290418277761;0.19803461071737255;0.3608920208467908;0.5843966133053686;7447547.0;0.1578554624602906;56.699666666666666;0.0278446656607446;86.70976511637366;22.707590738932268;4.375073353449503
2003;BENIN;57.092;126.5;532.0;0.0411111111111111;0.5994750000000001;2.3;2.1;2.4;0.4515636373636363;0.0593872964382172;96.3288879394531;25.9423904418945;5.66462993621826;0.166219189763069;7913070.0;5.53248;2.89397;7.91102;79.54301;77.71674;81.35604;22.4;15.6;28.4;0.0016621918976306898;3.096166909823639;5.2983451902288925;0.4239151466113089;113.28069498762696;4.014992107032644;5.476333849162152;10.37881961759477;0.7214898895119087;1.5986210156108815;6.72305438976276;0.000519534278239812;0.007575757575757578;0.02906583664747057;0.02653837259116879;0.03032956867562147;0.005706554312847433;0.0007504962857426661;1.2173390092524532;0.3278422968821772;0.07158574278021375;0.002100565137968816;0.06991572171104261;0.03657202577507845;0.0999740934934229;1.0052104935252688;0.9821313346147577;1.028122334315253;0.2830759743058004;0.19714219639153957;0.35889989599485406;0.5382885811222718;7678030.666666667;0.16064337156121675;56.86566666666667;0.038358875919902134;92.11565653483069;24.396807352701803;5.0542899767557765
2004;BENIN;57.346;123.5;531.0;0.039;0.733;2.2;2.0;2.3;0.4757818186818182;0.0593872964382172;100.354598999023;27.7856101989746;5.71906995773315;0.166219189763069;8159094.0;5.88161;3.11606;8.38317;79.28763;77.2617;81.30168;22.9;15.9;29.0;0.0016621918976306898;3.109084084937952;0.0;0.44489595740209165;0.0;4.179131666193681;7.105049787946571;0.9610516861271678;0.7028476446036778;1.5136484516540685;6.508075528974173;0.00047799424789075846;0.008983840607792974;0.02696377808614535;0.024512525532859406;0.028189404362788318;0.005831306989254177;0.0007278663101346448;1.2299723351517093;0.3405477397242218;0.07009442418157151;0.002037226066559216;0.07208655764966061;0.03819125015596094;0.1027463343356505;0.9717700274074548;0.9469396969810618;0.9964547534321827;0.2806684173512402;0.19487457798623228;0.3554316202264614;0.4973422860029693;7915863.333333333;0.16343128066214285;57.09633333333333;0.048873086179059666;96.43135579427066;26.107820510864233;5.505229949951169
2005;BENIN;57.738;120.6;514.0;0.0445;0.74975;2.1;1.9;2.2;0.5;0.0593872964382172;97.6395721435547;27.7856101989746;5.65152978897095;0.166219189763069;8426144.0;6.22555;3.34238;8.83934;79.02921;76.80014;81.2472;23.5;16.3;29.7;0.0016621918976306898;3.273034971775046;0.0;0.6835699089736025;0.0;-2.7054334156571436;0.0;-1.1809641997974518;0.6852244632894952;1.4312596604093164;6.100061902573704;0.0005281181997364392;0.008897901578705516;0.024922431897674666;0.022548866955038983;0.02610921436899251;0.005933912356589206;0.0007047980243183263;1.158769327269445;0.3297547513901329;0.06707136489681341;0.0019726602080746424;0.07388373614312788;0.03966677996483326;0.10490373770018648;0.9379048115009665;0.9114505994675619;0.9642275280365492;0.2788938807596927;0.1934455428248081;0.35247439398139885;0.48398322713525427;8166102.666666667;0.166219189763069;57.391999999999996;0.0593872964382172;98.10768636067694;27.171203613281232;5.678409894307453
2006;BENIN;57.966;117.9;509.0;0.05;0.7665;2.0;1.9;2.2;0.49;0.0593872964382172;97.9188232421875;27.7856101989746;6.47643995285034;0.166219189763069;8693242.0;6.55835;3.56864;9.27506;78.76738;76.33159;81.19406;24.0;16.7;30.3;0.0016621918976306898;3.1698722452405237;0.0;0.3948872492985478;0.0;0.2860019687737081;0.0;14.59622783001544;0.6667938152417705;1.356225905134126;5.8551228644043265;0.0005751594169355921;0.008817193861622625;0.02300637667742368;0.021856057843552497;0.025307014345166055;0.005636562285968802;0.0006831432558557233;1.1263786656599173;0.3196231072248374;0.0744997085419955;0.0019120506453526656;0.0754419352411908;0.04105073803306063;0.10669276203285265;0.9060760070868843;0.8780566559633334;0.9339905641646694;0.2760765201290842;0.19210324525648773;0.34854660666296877;0.4516226919489074;8426160.0;0.166219189763069;57.68333333333333;0.0593872964382172;98.63766479492172;27.7856101989746;5.949013233184814
2007;BENIN;58.249;115.4;501.0;0.0555;0.78325;1.9;1.8;2.1;0.48;0.0593872964382172;97.9188232421875;27.7856101989746;7.7589898109436;0.139754608273506;8953969.0;6.87367;3.79074;9.68501;78.502;75.85654;81.14081;24.5;17.1;31.0;0.00139754608273506;2.999191785987332;-15.921495903864013;0.4882172307904664;0.0;0.0;0.0;19.803315825213485;0.6505383255179911;1.288813932681697;5.59528405782955;0.0006198368567056687;0.008747517441706577;0.02121964013947334;0.020102816974237905;0.023453286469944223;0.005360751193130108;0.0006632510838290505;1.0935801010946933;0.31031613130416913;0.08665419559687552;0.0015608118396825586;0.07676673886183881;0.042335862453845886;0.1081644352353688;0.8767285211731244;0.8471834110660869;0.9061993625396737;0.27362167548268257;0.1909767612552601;0.3462151812229861;0.41054598249857666;8691118.333333334;0.15739766259988133;57.98433333333333;0.0593872964382172;97.82573954264323;27.7856101989746;6.628986517588296
2008;BENIN;58.099;113.0;563.0;0.061;0.8;1.9;1.8;2.0;0.47;0.0593872964382172;110.888137817383;27.7856101989746;7.66394996643066;0.139754608273506;9228466.0;7.16832;4.00417;10.06365;78.23299;75.37502;81.08743;25.0;17.5;31.7;0.00139754608273506;3.0656460838763167;0.0;-0.2575151504746964;0.0;13.244965723411362;0.0;-1.2248997205653311;0.6295629197745324;1.2244721928866618;6.1006888902229255;0.0006609982634166935;0.008668829684153358;0.020588470499864224;0.019504866789345057;0.021672074210383394;0.005092937439440098;0.0006435229477815403;1.2015879759147727;0.30108590310648164;0.08304684620857529;0.0015143861208732415;0.07767618150188774;0.04338933469549544;0.10905008481366243;0.847735582490091;0.8167665135245663;0.8786664002446343;0.27090092762979245;0.1896306493408547;0.3435023762345768;0.3670444125282577;8958559.0;0.14857613543669365;58.10466666666667;0.0593872964382172;102.241928100586;27.7856101989746;7.2997932434082
2009;BENIN;58.258;110.6;598.0;0.054;0.62;1.8;1.7;2.0;0.46;0.0593872964382172;116.08260345459;27.7856101989746;9.74950981140137;0.139754608273506;9509423.0;7.44077;4.20545;10.40975;77.9603;74.8871;81.03394;25.6;17.9;32.4;0.00139754608273506;3.04446047696334;0.0;0.2736708032840651;0.0;4.684419577648202;0.0;27.21259734348216;0.6126344363900943;1.1630568963016998;6.288499312734326;0.0005678577974709927;0.006519848785778065;0.018928593249033093;0.01787700473519792;0.021031770276703433;0.00483730716364179;0.0006245099880215361;1.2207113244892986;0.2921902853514309;0.10252472533192991;0.0014696434081595277;0.0782462826608933;0.044224029155081224;0.10946773531895679;0.8198215601514415;0.787504141944259;0.8521436053480846;0.26920665954180395;0.18823434397649572;0.3407146784825956;0.29924073982070765;9230619.333333334;0.139754608273506;58.202;0.0593872964382172;108.29652150472016;27.7856101989746;8.390816529591875
2010;BENIN;58.387;108.4;607.0;0.056;0.44;1.8;1.7;1.9;0.45;0.0593872964382172;117.383979797363;27.7856101989746;13.1351699829102;0.139754608273506;9797484.0;7.69086;4.39258;10.72593;77.68389;74.39278;80.98034;26.1;18.4;33.0;0.00139754608273506;3.029216388838729;0.0;0.2214288166431988;0.0;1.1210778394387777;0.0;34.7264656070148;0.5959387124286194;1.106406501914165;6.195468142637436;0.000571575314642004;0.004490948900758603;0.018372063684921558;0.017351393480203692;0.01939273388963942;0.0045930159212303895;0.0006061484401323565;1.1981033069037212;0.2835994444999818;0.134066766354609;0.0014264336463678429;0.07849831650656434;0.04483375527839596;0.10947637168889482;0.7928963190958006;0.7593049399213104;0.8265422020592226;0.2663949234313626;0.18780331766808703;0.33682116755689523;0.22335255542831292;9511791.0;0.139754608273506;58.248;0.0593872964382172;114.784907023112;27.7856101989746;10.182876586914077
2011;BENIN;58.462;106.2;613.0;0.0543333333333333;0.413;1.8;1.7;1.9;0.49;0.0158451721072197;119.239990234375;47.4146003723145;12.2822198867798;0.162149429321289;10093623.0;7.92182;4.56598;11.01901;77.40384;73.89159;80.92811;26.6;18.8;33.7;0.00162149429321289;3.022602537549446;16.02438826486161;0.12845325157997411;-73.31891994156695;1.5811445822641046;70.64444521021997;-6.49363576748645;0.5791973803658013;1.0521494611003404;6.073141428008555;0.0005382936665390941;0.004091692348723546;0.01783304171356509;0.016842317173922584;0.018823766253207593;0.004854550244248274;0.00015698200841481497;1.1813398443192795;0.4697480812619463;0.12168296643117936;0.0016064541871762897;0.07848341472630789;0.045236284335168846;0.10916803609566159;0.7668588375056211;0.7320621148620272;0.8017746452388802;0.2635327275449063;0.18625621345279095;0.3338741698595242;0.14140022913710493;9800176.666666666;0.147219548622767;58.36900000000001;0.044873254994551366;117.568857828776;34.32860692342123;11.722299893697121
2012;BENIN;58.559;103.9;618.0;0.0526666666666666;0.661;1.8;1.6;1.9;0.48;0.0158451721072197;123.163383483887;47.4146003723145;13.3533802032471;0.162149429321289;10397657.0;8.14129;4.72918;11.30055;77.11994;73.3841;80.87576;27.2;19.2;34.4;0.00162149429321289;3.0121394468566987;0.0;0.16591974273887367;0.0;3.290333420692404;0.0;8.721227321620129;0.5631941888446599;0.9992635840939935;5.943646727334821;0.0005065243705064188;0.0063572014349001895;0.017311592409713073;0.015388082141967178;0.018273347543586022;0.004616424642590153;0.0001523917562121899;1.1845301637079104;0.45601235328607687;0.12842681965030295;0.0015594804610431852;0.07829927453848497;0.04548313144009271;0.10868361978087947;0.7417049821897376;0.7057753491964585;0.7778267738587645;0.261597396413442;0.1846569857036061;0.33084376605229426;0.09858934308192165;10096254.666666666;0.154684488972028;58.46933333333334;0.03035921355088553;119.92911783854167;40.871603647867865;12.923590024312366
2013;BENIN;58.863;101.6;607.0;0.051;0.565;1.8;1.6;1.9;0.47;0.0158451721072197;124.061050415039;54.0870780944824;15.3102397918701;0.162149429321289;10708834.0;8.36239;4.89161;11.5864;76.83228;72.87037;80.8233;27.8;19.7;35.1;0.00162149429321289;2.992760772931824;0.0;0.5191345480626497;0.0;0.7288423764920671;14.072622503982913;14.654413780168984;0.5496676855762261;0.9487494156693436;5.668217473536335;0.00047624232479465085;0.005276017911940739;0.016808552639811205;0.014940935679832184;0.017742361119800716;0.0043888998559507035;0.00014796356080615033;1.1584926091396972;0.5050697218248261;0.1429683174832115;0.0015141651212567959;0.0780887069497949;0.04567826898801494;0.10819478572550476;0.7174663460092854;0.6804696944597329;0.7547348292073628;0.25959875743708416;0.18396027055793376;0.3277667764763186;0.014618436049881407;10400038.0;0.162149429321289;58.62800000000001;0.0158451721072197;122.15480804443366;49.63875961303713;13.648613293965667
2014;BENIN;59.008;99.3;605.0;0.0493333333333333;0.621;1.8;1.6;1.9;0.46;0.0158451721072197;124.522239685059;54.7326316833496;15.196590423584;0.162149429321289;11030004.0;8.59563;5.06278;11.88712;76.54086;72.35046;80.77072;28.4;20.2;35.8;0.00162149429321289;2.9991126951823155;0.0;0.24633470941000102;0.0;0.37174380555147213;1.1935449493860828;-0.7423095250699396;0.5349771405341286;0.9002716590129977;5.4850388086894615;0.0004472648725542919;0.0056300976862746375;0.016319123728332285;0.014505887758517588;0.01722574171323963;0.004170442730573806;0.00014365518006357656;1.1289410201941812;0.4962158824543455;0.13777502187292046;0.0014700758886514367;0.07792952749609157;0.045900074016292286;0.10777076780751847;0.6939332025627551;0.6559422825231976;0.7322818740591571;0.25747950771368716;0.18313683295128452;0.32456923859683096;0.0;10712165.0;0.162149429321289;58.81;0.0158451721072197;123.91555786132834;52.07810338338217;14.620070139567067
